# time   center_error   angle_error_deg
2.010000000000000068e-03 2.170710504287853837e-04 1.889305574236129770e-01
2.020000000000000094e-03 2.170249499613419175e-04 1.893301015870671455e-01
2.030000000000000120e-03 2.169764920836314559e-04 1.897468970170100300e-01
2.040000000000000147e-03 2.169377985410392284e-04 1.901638039960664439e-01
2.050000000000000173e-03 2.169314393540844321e-04 1.905560268920971079e-01
2.060000000000000199e-03 2.168976643588393927e-04 1.909646536101023140e-01
2.070000000000000225e-03 2.168735663872212172e-04 1.913379828188333520e-01
2.080000000000000251e-03 2.168663340853527188e-04 1.917198178219770566e-01
2.090000000000000278e-03 2.168543724110350013e-04 1.921416570855810080e-01
2.100000000000000304e-03 2.168182545574381948e-04 1.924984392636646113e-01
2.110000000000000330e-03 2.168219361919909716e-04 1.929146582539163490e-01
2.120000000000000356e-03 2.168088976759463549e-04 1.933362330629987691e-01
2.130000000000000383e-03 2.167703787563368678e-04 1.937651135200487151e-01
2.140000000000000409e-03 2.167348138755187392e-04 1.942177753259990425e-01
2.150000000000000435e-03 2.167097263736650348e-04 1.946484956749138517e-01
2.160000000000000461e-03 2.166782214771956205e-04 1.950855028258098589e-01
2.170000000000000488e-03 2.166342310374602675e-04 1.955130278159924184e-01
2.180000000000000514e-03 2.165959740523248911e-04 1.960038386136630784e-01
2.190000000000000540e-03 2.165705664083361626e-04 1.964643787561068111e-01
2.200000000000000566e-03 2.165238984161987901e-04 1.969421438643456090e-01
2.210000000000000592e-03 2.164646721212193370e-04 1.974290502520065771e-01
2.220000000000000619e-03 2.164336037822067738e-04 1.979683881289016623e-01
2.230000000000000645e-03 2.164164470741525292e-04 1.984505384837567943e-01
2.240000000000000671e-03 2.163727476727217436e-04 1.989503754140516667e-01
2.250000000000000697e-03 2.163243771065026522e-04 1.994713201621035881e-01
2.260000000000000724e-03 2.162625896744430065e-04 1.999257175096727235e-01
2.270000000000000750e-03 2.161831653211265802e-04 2.004729992790512949e-01
2.280000000000000776e-03 2.161214506486430764e-04 2.010067158232404505e-01
2.290000000000000802e-03 2.160480798920616508e-04 2.014732989195314461e-01
2.300000000000000829e-03 2.159797004424035549e-04 2.019865556382116900e-01
2.310000000000000855e-03 2.159282448701560497e-04 2.025182273972696012e-01
2.320000000000000881e-03 2.159154828405007720e-04 2.030794625729769320e-01
2.330000000000000907e-03 2.158588758902624249e-04 2.036024856770674019e-01
2.340000000000000933e-03 2.157779381377622485e-04 2.041261220369272045e-01
2.350000000000000960e-03 2.157120034098625183e-04 2.046432502627280881e-01
2.360000000000000986e-03 2.156869886675849557e-04 2.051765451468395562e-01
2.370000000000001012e-03 2.156206901418045163e-04 2.056845587302110756e-01
2.380000000000001038e-03 2.155303373001515865e-04 2.062355540873486437e-01
2.390000000000001065e-03 2.154569228878244758e-04 2.067798446849301308e-01
2.400000000000001091e-03 2.154074609279632568e-04 2.073661292542416101e-01
2.410000000000001117e-03 2.153633249690756202e-04 2.078744046985640526e-01
2.420000000000001143e-03 2.153196255676448345e-04 2.084250309381646682e-01
2.430000000000001169e-03 2.152593660866841674e-04 2.089415332086675403e-01
2.440000000000001196e-03 2.151621447410434484e-04 2.095119464239101337e-01
2.450000000000001222e-03 2.150715590687468648e-04 2.100945042151489695e-01
2.460000000000001248e-03 2.149885403923690319e-04 2.106910003555762523e-01
2.470000000000001274e-03 2.149312058463692665e-04 2.112496804490282543e-01
2.480000000000001301e-03 2.148532657884061337e-04 2.118503433810857151e-01
2.490000000000001327e-03 2.147654886357486248e-04 2.125388879042456047e-01
2.500000000000001353e-03 2.146914484910666943e-04 2.131573738139841412e-01
2.510000000000001379e-03 2.146082988474518061e-04 2.137889430414954550e-01
2.520000000000001406e-03 2.145376201951876283e-04 2.143982758238576203e-01
2.530000000000001432e-03 2.144537720596417785e-04 2.150237575090838960e-01
2.540000000000001458e-03 2.143345336662605405e-04 2.156240708330441069e-01
2.550000000000001484e-03 2.142392913810908794e-04 2.161814879400573985e-01
2.560000000000001510e-03 2.141420700354501605e-04 2.168219785069337990e-01
2.570000000000001537e-03 2.140599972335621715e-04 2.174399953170440269e-01
2.580000000000001563e-03 2.139429707312956452e-04 2.180847303923024449e-01
2.590000000000001589e-03 2.138478448614478111e-04 2.187227280826127274e-01
2.600000000000001615e-03 2.137488190783187747e-04 2.193486304906771822e-01
2.610000000000001642e-03 2.136444381903856993e-04 2.199291996070554533e-01
2.620000000000001668e-03 2.135250397259369493e-04 2.205738471410257917e-01
2.630000000000001694e-03 2.134389360435307026e-04 2.212180237236997804e-01
2.640000000000001720e-03 2.132993686245754361e-04 2.218894661610313346e-01
2.650000000000001747e-03 2.132311201421543956e-04 2.225424889825791952e-01
2.660000000000001773e-03 2.131120563717558980e-04 2.231976584503831407e-01
2.670000000000001799e-03 2.129881322616711259e-04 2.238970630915829985e-01
2.680000000000001825e-03 2.128995547536760569e-04 2.246211469887316736e-01
2.690000000000001851e-03 2.128011110471561551e-04 2.253173828013508850e-01
2.700000000000001878e-03 2.126675244653597474e-04 2.259586947188029216e-01
2.710000000000001904e-03 2.125581813743337989e-04 2.265684574506524607e-01
2.720000000000001930e-03 2.124527381965890527e-04 2.272303131940408560e-01
2.730000000000001956e-03 2.123473386745899916e-04 2.278779863999910449e-01
2.740000000000001983e-03 2.122163714375346899e-04 2.285983407633581377e-01
2.750000000000002009e-03 2.120665885740891099e-04 2.292418547945468399e-01
2.760000000000002035e-03 2.119211712852120399e-04 2.298677796823773711e-01
2.770000000000002061e-03 2.117866970365867019e-04 2.304723391110972686e-01
2.780000000000002087e-03 2.116561954608187079e-04 2.311518242897211695e-01
2.790000000000002114e-03 2.115202951245009899e-04 2.318024508034229880e-01
2.800000000000002140e-03 2.113763766828924417e-04 2.325135580925012380e-01
2.810000000000002166e-03 2.112008514814078808e-04 2.332366393635001145e-01
2.820000000000002192e-03 2.110603527398779988e-04 2.339385479539410062e-01
2.830000000000002219e-03 2.108907647198066115e-04 2.346447131423448906e-01
2.840000000000002245e-03 2.106987813021987677e-04 2.353108385743822584e-01
2.850000000000002271e-03 2.105014864355325699e-04 2.360083683567118229e-01
2.860000000000002297e-03 2.103621081914752722e-04 2.366902018099042715e-01
2.870000000000002324e-03 2.101694553857669234e-04 2.374406982921694609e-01
2.880000000000002350e-03 2.099952107528224587e-04 2.380882210290610201e-01
2.890000000000002376e-03 2.098089462378993630e-04 2.388217610497130050e-01
2.900000000000002402e-03 2.096220268867909908e-04 2.394742161999200425e-01
2.910000000000002428e-03 2.094642841257154942e-04 2.401342461283686724e-01
2.920000000000002455e-03 2.092704089591279626e-04 2.408898659334108849e-01
2.930000000000002481e-03 2.090580965159460902e-04 2.415273485416370436e-01
2.940000000000002507e-03 2.088843029923737049e-04 2.421943884006829140e-01
2.950000000000002533e-03 2.086927124764770269e-04 2.429380375442972417e-01
2.960000000000002560e-03 2.085157029796391726e-04 2.436803169577385353e-01
2.970000000000002586e-03 2.083772706100717187e-04 2.444381016932823669e-01
2.980000000000002612e-03 2.081437996821478009e-04 2.451884261410114396e-01
2.990000000000002638e-03 2.079280238831415772e-04 2.459366148065467994e-01
3.000000000000002665e-03 2.077478129649534822e-04 2.466330320888811822e-01
3.010000000000002691e-03 2.075495285680517554e-04 2.474009350122353401e-01
3.020000000000002717e-03 2.073913201456889510e-04 2.480861425408952547e-01
3.030000000000002743e-03 2.072057250188663602e-04 2.488533139257951832e-01
