# time   center_error   angle_error_deg
3.130000000000003006e-03 3.398191665837657638e-07 1.270449912273300189e-03
3.140000000000003032e-03 3.424836734211567091e-07 1.184873984576155113e-03
3.150000000000003058e-03 3.497621605674794409e-07 1.097463637571957596e-03
3.160000000000003084e-03 3.504347887428593822e-07 1.012683212635995082e-03
3.170000000000003110e-03 3.477514098904066486e-07 9.253018009506509736e-04
3.180000000000003137e-03 3.503555774386768462e-07 8.393395109017151752e-04
3.190000000000003163e-03 3.543581499343417818e-07 7.521924484265774978e-04
3.200000000000003189e-03 3.608920167152973590e-07 6.634287788976662862e-04
3.210000000000003215e-03 3.701043453929742100e-07 5.739837196679895047e-04
3.220000000000003242e-03 3.701231037211982766e-07 4.844355589289250810e-04
3.230000000000003268e-03 3.622593283125752350e-07 3.912319098077258702e-04
3.240000000000003294e-03 3.727943749254336581e-07 3.007129999518353271e-04
3.250000000000003320e-03 3.702168385188997490e-07 2.109657624875653254e-04
3.260000000000003346e-03 3.820375695795519277e-07 1.192640700368149183e-04
3.270000000000003373e-03 3.938118311452853959e-07 2.693203749271361072e-05
3.280000000000003399e-03 3.846260767659259727e-07 6.356288084127035122e-05
3.290000000000003425e-03 3.806592303590150550e-07 1.561624757668391740e-04
3.300000000000003451e-03 3.740903764537506504e-07 2.469182002717029722e-04
3.310000000000003478e-03 3.595677071643876843e-07 3.413109995790954360e-04
3.320000000000003504e-03 3.609688974393066019e-07 4.337217681855859734e-04
3.330000000000003530e-03 3.613531589508056641e-07 5.266126729324015123e-04
3.340000000000003556e-03 3.691234553571121069e-07 6.216088831237123443e-04
3.350000000000003583e-03 3.771384911033237586e-07 7.163264268220239988e-04
3.360000000000003609e-03 3.757606634735566331e-07 8.117541359715264989e-04
3.370000000000003635e-03 3.732594109351339284e-07 9.051467860369782469e-04
3.380000000000003661e-03 3.802351784543134272e-07 1.002687654101123245e-03
3.390000000000003687e-03 3.904274876731506083e-07 1.100935485020533653e-03
3.400000000000003714e-03 3.956882608235900989e-07 1.198330765306023036e-03
3.410000000000003740e-03 3.956882608235900989e-07 1.292203888078096103e-03
3.420000000000003766e-03 3.970755813043069793e-07 1.388299821340315812e-03
3.430000000000003792e-03 3.943048625387746142e-07 1.485170241225271378e-03
3.440000000000003819e-03 3.907472603259520838e-07 1.583774302436670141e-03
3.450000000000003845e-03 3.907472603259520838e-07 1.682607112423092129e-03
3.460000000000003871e-03 3.925588316633366048e-07 1.783897684933118035e-03
3.470000000000003897e-03 3.883068018240010133e-07 1.883043195255963784e-03
3.480000000000003924e-03 3.911377461918164045e-07 1.982770525636216863e-03
3.490000000000003950e-03 3.844681941700400785e-07 2.083267262396463256e-03
3.500000000000003976e-03 3.721749521901074331e-07 2.184044869723214457e-03
3.510000000000004002e-03 3.707786788709199755e-07 2.281806872664336565e-03
3.520000000000004028e-03 3.721749521901074331e-07 2.382059062573651294e-03
3.530000000000004055e-03 3.634640677319112001e-07 2.480830429955903620e-03
3.540000000000004081e-03 3.606275242873380193e-07 2.584254920186700513e-03
3.550000000000004107e-03 3.467723104222386610e-07 2.685261135879708078e-03
3.560000000000004133e-03 3.406400708172441227e-07 2.785886251563144886e-03
3.570000000000004160e-03 3.473321328328893287e-07 2.888825242233368593e-03
3.580000000000004186e-03 3.324965121009881841e-07 2.990018592756502405e-03
3.590000000000004212e-03 3.400896275707054883e-07 3.093450458305578143e-03
3.600000000000004238e-03 3.348464190366939874e-07 3.196303677189318241e-03
3.610000000000004265e-03 3.220599182895966806e-07 3.299691460975675162e-03
3.620000000000004291e-03 3.267283545937971212e-07 3.404877365658004907e-03
3.630000000000004317e-03 3.291194445864675799e-07 3.508429085327724895e-03
3.640000000000004343e-03 3.224475051410991000e-07 3.611621704331189914e-03
3.650000000000004369e-03 3.297881505659461254e-07 3.716497828992432022e-03
3.660000000000004396e-03 3.192684516761801206e-07 3.818936748963309112e-03
3.670000000000004422e-03 3.217581365788646508e-07 3.924746399151468612e-03
3.680000000000004448e-03 3.192684516761801206e-07 4.030777910318155202e-03
3.690000000000004474e-03 3.270202455496473704e-07 4.136614323690793182e-03
3.700000000000004501e-03 3.234627001802437007e-07 4.244101924488061749e-03
3.710000000000004527e-03 3.143624098811415024e-07 4.351542362780096672e-03
3.720000000000004553e-03 3.143624098811415024e-07 4.458626853410594185e-03
3.730000000000004579e-03 3.076974905980023323e-07 4.564610117750984505e-03
3.740000000000004605e-03 3.119471898571646307e-07 4.672782344355268583e-03
3.750000000000004632e-03 3.276985296452039620e-07 4.781543465632876952e-03
3.760000000000004658e-03 3.372210812813136727e-07 4.889846558608556756e-03
3.770000000000004684e-03 3.386532796412211610e-07 4.998035112361297848e-03
3.780000000000004710e-03 3.372210812813136727e-07 5.107260714389366858e-03
3.790000000000004737e-03 3.386532796412211610e-07 5.217081051835933264e-03
3.800000000000004763e-03 3.424684678066114429e-07 5.326887557921661763e-03
3.810000000000004789e-03 3.444231708726874785e-07 5.435493056579760417e-03
3.820000000000004815e-03 3.572590401290653972e-07 5.545628763865905787e-03
3.830000000000004842e-03 3.653824194316257490e-07 5.655843316402882001e-03
3.840000000000004868e-03 3.636501730852614855e-07 5.766477170044651858e-03
3.850000000000004894e-03 3.747760501937591471e-07 5.877630924654402532e-03
3.860000000000004920e-03 3.688790002343012020e-07 5.988545552943509188e-03
3.870000000000004946e-03 3.688790002343012020e-07 6.103407078974636656e-03
3.880000000000004973e-03 3.725290298461914062e-07 6.215698204391254325e-03
